Gene_Name_HPA,image
EIF5A,B2AI_3_Paclitaxel_C2_R1_z02_
EIF5A,B2AI_3_Paclitaxel_C2_R11_z00_
EIF5A,B2AI_3_Paclitaxel_C2_R12_z01_
EIF5A,B2AI_3_Paclitaxel_C2_R14_z01_
EIF5A,B2AI_3_Paclitaxel_C2_R2_z01_
EIF5A,B2AI_3_Paclitaxel_C2_R3_z01_
EIF5A,B2AI_3_Paclitaxel_C2_R4_z02_
EIF5A,B2AI_3_Paclitaxel_C2_R5_z01_
EIF5A,B2AI_3_Paclitaxel_C2_R6_z02_
EIF5A,B2AI_3_Paclitaxel_C2_R7_z02_
EIF5A,B2AI_3_Paclitaxel_C2_R8_z00_
MYH10,B2AI_5_Paclitaxel_A3_R1_z00_
MYH10,B2AI_5_Paclitaxel_A3_R12_z01_
MYH10,B2AI_5_Paclitaxel_A3_R13_z02_
MYH10,B2AI_5_Paclitaxel_A3_R2_z01_
MYH10,B2AI_5_Paclitaxel_A3_R3_z01_
MYH10,B2AI_5_Paclitaxel_A3_R4_z01_
MYH10,B2AI_5_Paclitaxel_A3_R5_z01_
MYH10,B2AI_5_Paclitaxel_A3_R6_z01_
MYH10,B2AI_5_Paclitaxel_A3_R8_z01_
S100A11,B2AI_4_Paclitaxel_B6_R1_z01_
S100A11,B2AI_4_Paclitaxel_B6_R2_z01_
S100A11,B2AI_4_Paclitaxel_B6_R3_z01_
S100A11,B2AI_4_Paclitaxel_B6_R4_z01_
S100A11,B2AI_4_Paclitaxel_B6_R5_z01_
S100A11,B2AI_4_Paclitaxel_B6_R6_z02_
S100A11,B2AI_4_Paclitaxel_B6_R7_z01_
S100A11,B2AI_4_Paclitaxel_B6_R8_z01_
USP7,B2AI_1_Paclitaxel_C1_R1_z01_
USP7,B2AI_1_Paclitaxel_C1_R2_z01_
USP7,B2AI_1_Paclitaxel_C1_R3_z01_
USP7,B2AI_1_Paclitaxel_C1_R4_z01_
USP7,B2AI_1_Paclitaxel_C1_R6_z01_
USP7,B2AI_1_Paclitaxel_C1_R8_z01_
PPP1CC,B2AI_1_Paclitaxel_G9_R1_z00_
PPP1CC,B2AI_1_Paclitaxel_G9_R2_z01_
PPP1CC,B2AI_1_Paclitaxel_G9_R3_z01_
PPP1CC,B2AI_1_Paclitaxel_G9_R4_z00_
PPP1CC,B2AI_1_Paclitaxel_G9_R5_z01_
PPP1CC,B2AI_1_Paclitaxel_G9_R6_z02_
PPP1CC,B2AI_1_Paclitaxel_G9_R7_z01_
KAT2A,B2AI_1_Paclitaxel_E2_R1_z01_
KAT2A,B2AI_1_Paclitaxel_E2_R2_z01_
KAT2A,B2AI_1_Paclitaxel_E2_R3_z00_
KAT2A,B2AI_1_Paclitaxel_E2_R5_z01_
KAT2A,B2AI_1_Paclitaxel_E2_R6_z01_
HDAC8,B2AI_1_Paclitaxel_A4_R2_z01_
HDAC8,B2AI_1_Paclitaxel_A4_R3_z01_
HDAC8,B2AI_1_Paclitaxel_A4_R4_z01_
HDAC8,B2AI_1_Paclitaxel_A4_R5_z01_
HDAC8,B2AI_1_Paclitaxel_A4_R6_z01_
HDAC8,B2AI_1_Paclitaxel_A4_R7_z01_
HDAC8,B2AI_1_Paclitaxel_A4_R8_z01_
HDAC11,B2AI_1_Paclitaxel_D4_R1_z01_
HDAC11,B2AI_1_Paclitaxel_D4_R2_z01_
HDAC11,B2AI_1_Paclitaxel_D4_R3_z00_
HDAC11,B2AI_1_Paclitaxel_D4_R4_z01_
HDAC11,B2AI_1_Paclitaxel_D4_R5_z00_
HDAC11,B2AI_1_Paclitaxel_D4_R6_z01_
HDAC11,B2AI_1_Paclitaxel_D4_R7_z01_
HDAC11,B2AI_1_Paclitaxel_D4_R8_z01_
HDAC1,B2AI_1_Paclitaxel_B3_R1_z00_
HDAC1,B2AI_1_Paclitaxel_B3_R2_z01_
HDAC1,B2AI_1_Paclitaxel_B3_R4_z01_
HDAC1,B2AI_1_Paclitaxel_B3_R5_z01_
HDAC1,B2AI_1_Paclitaxel_B3_R8_z01_
BRPF1,B2AI_1_Paclitaxel_D10_R2_z01_
BRPF1,B2AI_1_Paclitaxel_D10_R3_z01_
BRPF1,B2AI_1_Paclitaxel_D10_R4_z01_
BRPF1,B2AI_1_Paclitaxel_D10_R5_z01_
BRPF1,B2AI_1_Paclitaxel_D10_R6_z00_
BRPF1,B2AI_1_Paclitaxel_D10_R7_z01_
BRPF1,B2AI_1_Paclitaxel_D10_R8_z01_
DNMT1,B2AI_1_Paclitaxel_A8_R3_z01_
DNMT1,B2AI_1_Paclitaxel_A8_R6_z01_
DNMT1,B2AI_1_Paclitaxel_A8_R7_z01_
HDAC7,B2AI_1_Paclitaxel_H3_R1_z01_
HDAC7,B2AI_1_Paclitaxel_H3_R2_z01_
HDAC7,B2AI_1_Paclitaxel_H3_R3_z01_
HDAC7,B2AI_1_Paclitaxel_H3_R4_z01_
HDAC7,B2AI_1_Paclitaxel_H3_R5_z01_
HDAC7,B2AI_1_Paclitaxel_H3_R6_z01_
HDAC7,B2AI_1_Paclitaxel_H3_R7_z01_
HDAC7,B2AI_1_Paclitaxel_H3_R8_z01_
CSTF2,B2AI_3_Paclitaxel_A1_R1_z01_
CSTF2,B2AI_3_Paclitaxel_A1_R11_z01_
CSTF2,B2AI_3_Paclitaxel_A1_R12_z00_
CSTF2,B2AI_3_Paclitaxel_A1_R13_z00_
CSTF2,B2AI_3_Paclitaxel_A1_R14_z01_
CSTF2,B2AI_3_Paclitaxel_A1_R3_z01_
CSTF2,B2AI_3_Paclitaxel_A1_R4_z00_
CSTF2,B2AI_3_Paclitaxel_A1_R5_z01_
CSTF2,B2AI_3_Paclitaxel_A1_R6_z02_
CSTF2,B2AI_3_Paclitaxel_A1_R7_z01_
CSTF2,B2AI_3_Paclitaxel_A1_R8_z00_
HMGN5,B2AI_2_Paclitaxel_A1_R11_z01_
HMGN5,B2AI_2_Paclitaxel_A1_R12_z01_
HMGN5,B2AI_2_Paclitaxel_A1_R13_z00_
HMGN5,B2AI_2_Paclitaxel_A1_R14_z01_
HMGN5,B2AI_2_Paclitaxel_A1_R2_z01_
HMGN5,B2AI_2_Paclitaxel_A1_R3_z01_
HMGN5,B2AI_2_Paclitaxel_A1_R4_z01_
HMGN5,B2AI_2_Paclitaxel_A1_R5_z02_
HMGN5,B2AI_2_Paclitaxel_A1_R6_z01_
HMGN5,B2AI_2_Paclitaxel_A1_R7_z01_
HMGN5,B2AI_2_Paclitaxel_A1_R8_z01_
ADSL,B2AI_4_Paclitaxel_A1_R11_z01_
ADSL,B2AI_4_Paclitaxel_A1_R12_z01_
ADSL,B2AI_4_Paclitaxel_A1_R13_z01_
ADSL,B2AI_4_Paclitaxel_A1_R14_z00_
ADSL,B2AI_4_Paclitaxel_A1_R2_z01_
ADSL,B2AI_4_Paclitaxel_A1_R3_z01_
ADSL,B2AI_4_Paclitaxel_A1_R4_z01_
ADSL,B2AI_4_Paclitaxel_A1_R6_z01_
ADSL,B2AI_4_Paclitaxel_A1_R7_z01_
ADSL,B2AI_4_Paclitaxel_A1_R8_z01_
NSDHL,B2AI_5_Paclitaxel_A1_R1_z00_
NSDHL,B2AI_5_Paclitaxel_A1_R12_z02_
NSDHL,B2AI_5_Paclitaxel_A1_R13_z02_
NSDHL,B2AI_5_Paclitaxel_A1_R14_z01_
NSDHL,B2AI_5_Paclitaxel_A1_R2_z01_
NSDHL,B2AI_5_Paclitaxel_A1_R3_z01_
NSDHL,B2AI_5_Paclitaxel_A1_R5_z01_
NSDHL,B2AI_5_Paclitaxel_A1_R6_z01_
NSDHL,B2AI_5_Paclitaxel_A1_R7_z01_
NSDHL,B2AI_5_Paclitaxel_A1_R8_z01_
MTHFD1,B2AI_3_Paclitaxel_C1_R11_z01_
MTHFD1,B2AI_3_Paclitaxel_C1_R14_z00_
MTHFD1,B2AI_3_Paclitaxel_C1_R15_z00_
MTHFD1,B2AI_3_Paclitaxel_C1_R2_z02_
MTHFD1,B2AI_3_Paclitaxel_C1_R5_z01_
MTHFD1,B2AI_3_Paclitaxel_C1_R7_z02_
MTHFD1,B2AI_3_Paclitaxel_C1_R8_z00_
L3MBTL2,B2AI_2_Paclitaxel_B1_R1_z02_
L3MBTL2,B2AI_2_Paclitaxel_B1_R13_z00_
L3MBTL2,B2AI_2_Paclitaxel_B1_R14_z01_
