,Plate,Well,Treatment,HPA_Antibody_ID,ENSEMBL ID,Uniprot,Gene_Name_HPA,Chromosome,Baselink
8883,3,C2,untreated,CAB005042,ENSG00000132507,P63241,EIF5A,17,https://ell-vault.stanford.edu/dav/jnhansen/www/B2AI/MDA-MB-468/CAB005042_EIF5A/B2AI_3_untreated_C2_R1/z01/B2AI_3_untreated_C2_R1_z01_
8884,3,C2,untreated,CAB005042,ENSG00000132507,P63241,EIF5A,17,https://ell-vault.stanford.edu/dav/jnhansen/www/B2AI/MDA-MB-468/CAB005042_EIF5A/B2AI_3_untreated_C2_R2/z00/B2AI_3_untreated_C2_R2_z00_
8885,3,C2,untreated,CAB005042,ENSG00000132507,P63241,EIF5A,17,https://ell-vault.stanford.edu/dav/jnhansen/www/B2AI/MDA-MB-468/CAB005042_EIF5A/B2AI_3_untreated_C2_R3/z01/B2AI_3_untreated_C2_R3_z01_
8886,3,C2,untreated,CAB005042,ENSG00000132507,P63241,EIF5A,17,https://ell-vault.stanford.edu/dav/jnhansen/www/B2AI/MDA-MB-468/CAB005042_EIF5A/B2AI_3_untreated_C2_R4/z00/B2AI_3_untreated_C2_R4_z00_
8887,3,C2,untreated,CAB005042,ENSG00000132507,P63241,EIF5A,17,https://ell-vault.stanford.edu/dav/jnhansen/www/B2AI/MDA-MB-468/CAB005042_EIF5A/B2AI_3_untreated_C2_R5/z01/B2AI_3_untreated_C2_R5_z01_
8888,3,C2,untreated,CAB005042,ENSG00000132507,P63241,EIF5A,17,https://ell-vault.stanford.edu/dav/jnhansen/www/B2AI/MDA-MB-468/CAB005042_EIF5A/B2AI_3_untreated_C2_R6/z01/B2AI_3_untreated_C2_R6_z01_
8889,3,C2,untreated,CAB005042,ENSG00000132507,P63241,EIF5A,17,https://ell-vault.stanford.edu/dav/jnhansen/www/B2AI/MDA-MB-468/CAB005042_EIF5A/B2AI_3_untreated_C2_R7/z00/B2AI_3_untreated_C2_R7_z00_
8890,3,C2,untreated,CAB005042,ENSG00000132507,P63241,EIF5A,17,https://ell-vault.stanford.edu/dav/jnhansen/www/B2AI/MDA-MB-468/CAB005042_EIF5A/B2AI_3_untreated_C2_R8/z00/B2AI_3_untreated_C2_R8_z00_
8891,5,A3,untreated,CAB017180,ENSG00000133026,P35580,MYH10,17,https://ell-vault.stanford.edu/dav/jnhansen/www/B2AI/MDA-MB-468/CAB017180_MYH10/B2AI_5_untreated_A3_R1/z01/B2AI_5_untreated_A3_R1_z01_
8892,5,A3,untreated,CAB017180,ENSG00000133026,P35580,MYH10,17,https://ell-vault.stanford.edu/dav/jnhansen/www/B2AI/MDA-MB-468/CAB017180_MYH10/B2AI_5_untreated_A3_R11/z01/B2AI_5_untreated_A3_R11_z01_
8893,5,A3,untreated,CAB017180,ENSG00000133026,P35580,MYH10,17,https://ell-vault.stanford.edu/dav/jnhansen/www/B2AI/MDA-MB-468/CAB017180_MYH10/B2AI_5_untreated_A3_R12/z00/B2AI_5_untreated_A3_R12_z00_
8894,5,A3,untreated,CAB017180,ENSG00000133026,P35580,MYH10,17,https://ell-vault.stanford.edu/dav/jnhansen/www/B2AI/MDA-MB-468/CAB017180_MYH10/B2AI_5_untreated_A3_R13/z01/B2AI_5_untreated_A3_R13_z01_
8895,5,A3,untreated,CAB017180,ENSG00000133026,P35580,MYH10,17,https://ell-vault.stanford.edu/dav/jnhansen/www/B2AI/MDA-MB-468/CAB017180_MYH10/B2AI_5_untreated_A3_R2/z00/B2AI_5_untreated_A3_R2_z00_
8896,5,A3,untreated,CAB017180,ENSG00000133026,P35580,MYH10,17,https://ell-vault.stanford.edu/dav/jnhansen/www/B2AI/MDA-MB-468/CAB017180_MYH10/B2AI_5_untreated_A3_R3/z00/B2AI_5_untreated_A3_R3_z00_
8897,5,A3,untreated,CAB017180,ENSG00000133026,P35580,MYH10,17,https://ell-vault.stanford.edu/dav/jnhansen/www/B2AI/MDA-MB-468/CAB017180_MYH10/B2AI_5_untreated_A3_R4/z01/B2AI_5_untreated_A3_R4_z01_
8898,5,A3,untreated,CAB017180,ENSG00000133026,P35580,MYH10,17,https://ell-vault.stanford.edu/dav/jnhansen/www/B2AI/MDA-MB-468/CAB017180_MYH10/B2AI_5_untreated_A3_R6/z01/B2AI_5_untreated_A3_R6_z01_
8899,5,A3,untreated,CAB017180,ENSG00000133026,P35580,MYH10,17,https://ell-vault.stanford.edu/dav/jnhansen/www/B2AI/MDA-MB-468/CAB017180_MYH10/B2AI_5_untreated_A3_R7/z00/B2AI_5_untreated_A3_R7_z00_
8900,5,A3,untreated,CAB017180,ENSG00000133026,P35580,MYH10,17,https://ell-vault.stanford.edu/dav/jnhansen/www/B2AI/MDA-MB-468/CAB017180_MYH10/B2AI_5_untreated_A3_R8/z00/B2AI_5_untreated_A3_R8_z00_
8901,4,B6,untreated,CAB034320,ENSG00000163191,P31949,S100A11,1,https://ell-vault.stanford.edu/dav/jnhansen/www/B2AI/MDA-MB-468/CAB034320_S100A11/B2AI_4_untreated_B6_R1/z02/B2AI_4_untreated_B6_R1_z02_
8902,4,B6,untreated,CAB034320,ENSG00000163191,P31949,S100A11,1,https://ell-vault.stanford.edu/dav/jnhansen/www/B2AI/MDA-MB-468/CAB034320_S100A11/B2AI_4_untreated_B6_R2/z02/B2AI_4_untreated_B6_R2_z02_
8903,4,B6,untreated,CAB034320,ENSG00000163191,P31949,S100A11,1,https://ell-vault.stanford.edu/dav/jnhansen/www/B2AI/MDA-MB-468/CAB034320_S100A11/B2AI_4_untreated_B6_R3/z02/B2AI_4_untreated_B6_R3_z02_
8904,4,B6,untreated,CAB034320,ENSG00000163191,P31949,S100A11,1,https://ell-vault.stanford.edu/dav/jnhansen/www/B2AI/MDA-MB-468/CAB034320_S100A11/B2AI_4_untreated_B6_R4/z01/B2AI_4_untreated_B6_R4_z01_
8905,4,B6,untreated,CAB034320,ENSG00000163191,P31949,S100A11,1,https://ell-vault.stanford.edu/dav/jnhansen/www/B2AI/MDA-MB-468/CAB034320_S100A11/B2AI_4_untreated_B6_R5/z02/B2AI_4_untreated_B6_R5_z02_
8906,4,B6,untreated,CAB034320,ENSG00000163191,P31949,S100A11,1,https://ell-vault.stanford.edu/dav/jnhansen/www/B2AI/MDA-MB-468/CAB034320_S100A11/B2AI_4_untreated_B6_R6/z02/B2AI_4_untreated_B6_R6_z02_
8907,4,B6,untreated,CAB034320,ENSG00000163191,P31949,S100A11,1,https://ell-vault.stanford.edu/dav/jnhansen/www/B2AI/MDA-MB-468/CAB034320_S100A11/B2AI_4_untreated_B6_R7/z02/B2AI_4_untreated_B6_R7_z02_
8908,4,B6,untreated,CAB034320,ENSG00000163191,P31949,S100A11,1,https://ell-vault.stanford.edu/dav/jnhansen/www/B2AI/MDA-MB-468/CAB034320_S100A11/B2AI_4_untreated_B6_R8/z02/B2AI_4_untreated_B6_R8_z02_
