,Plate,Well,Treatment,HPA_Antibody_ID,ENSEMBL ID,Uniprot,Gene_Name_HPA,Chromosome,Baselink
4421,3,C2,Vorinostat,CAB005042,ENSG00000132507,P63241,EIF5A,17,https://ell-vault.stanford.edu/dav/jnhansen/www/B2AI/MDA-MB-468/CAB005042_EIF5A/B2AI_3_Vorinostat_C2_R1/z01/B2AI_3_Vorinostat_C2_R1_z01_
4422,3,C2,Vorinostat,CAB005042,ENSG00000132507,P63241,EIF5A,17,https://ell-vault.stanford.edu/dav/jnhansen/www/B2AI/MDA-MB-468/CAB005042_EIF5A/B2AI_3_Vorinostat_C2_R11/z02/B2AI_3_Vorinostat_C2_R11_z02_
4423,3,C2,Vorinostat,CAB005042,ENSG00000132507,P63241,EIF5A,17,https://ell-vault.stanford.edu/dav/jnhansen/www/B2AI/MDA-MB-468/CAB005042_EIF5A/B2AI_3_Vorinostat_C2_R13/z01/B2AI_3_Vorinostat_C2_R13_z01_
4424,3,C2,Vorinostat,CAB005042,ENSG00000132507,P63241,EIF5A,17,https://ell-vault.stanford.edu/dav/jnhansen/www/B2AI/MDA-MB-468/CAB005042_EIF5A/B2AI_3_Vorinostat_C2_R14/z01/B2AI_3_Vorinostat_C2_R14_z01_
4425,3,C2,Vorinostat,CAB005042,ENSG00000132507,P63241,EIF5A,17,https://ell-vault.stanford.edu/dav/jnhansen/www/B2AI/MDA-MB-468/CAB005042_EIF5A/B2AI_3_Vorinostat_C2_R2/z02/B2AI_3_Vorinostat_C2_R2_z02_
4426,3,C2,Vorinostat,CAB005042,ENSG00000132507,P63241,EIF5A,17,https://ell-vault.stanford.edu/dav/jnhansen/www/B2AI/MDA-MB-468/CAB005042_EIF5A/B2AI_3_Vorinostat_C2_R3/z01/B2AI_3_Vorinostat_C2_R3_z01_
4427,3,C2,Vorinostat,CAB005042,ENSG00000132507,P63241,EIF5A,17,https://ell-vault.stanford.edu/dav/jnhansen/www/B2AI/MDA-MB-468/CAB005042_EIF5A/B2AI_3_Vorinostat_C2_R4/z01/B2AI_3_Vorinostat_C2_R4_z01_
4428,3,C2,Vorinostat,CAB005042,ENSG00000132507,P63241,EIF5A,17,https://ell-vault.stanford.edu/dav/jnhansen/www/B2AI/MDA-MB-468/CAB005042_EIF5A/B2AI_3_Vorinostat_C2_R5/z01/B2AI_3_Vorinostat_C2_R5_z01_
4429,3,C2,Vorinostat,CAB005042,ENSG00000132507,P63241,EIF5A,17,https://ell-vault.stanford.edu/dav/jnhansen/www/B2AI/MDA-MB-468/CAB005042_EIF5A/B2AI_3_Vorinostat_C2_R6/z00/B2AI_3_Vorinostat_C2_R6_z00_
4430,3,C2,Vorinostat,CAB005042,ENSG00000132507,P63241,EIF5A,17,https://ell-vault.stanford.edu/dav/jnhansen/www/B2AI/MDA-MB-468/CAB005042_EIF5A/B2AI_3_Vorinostat_C2_R7/z01/B2AI_3_Vorinostat_C2_R7_z01_
4431,3,C2,Vorinostat,CAB005042,ENSG00000132507,P63241,EIF5A,17,https://ell-vault.stanford.edu/dav/jnhansen/www/B2AI/MDA-MB-468/CAB005042_EIF5A/B2AI_3_Vorinostat_C2_R8/z01/B2AI_3_Vorinostat_C2_R8_z01_
4432,5,A3,Vorinostat,CAB017180,ENSG00000133026,P35580,MYH10,17,https://ell-vault.stanford.edu/dav/jnhansen/www/B2AI/MDA-MB-468/CAB017180_MYH10/B2AI_5_Vorinostat_A3_R11/z01/B2AI_5_Vorinostat_A3_R11_z01_
4433,5,A3,Vorinostat,CAB017180,ENSG00000133026,P35580,MYH10,17,https://ell-vault.stanford.edu/dav/jnhansen/www/B2AI/MDA-MB-468/CAB017180_MYH10/B2AI_5_Vorinostat_A3_R12/z01/B2AI_5_Vorinostat_A3_R12_z01_
4434,5,A3,Vorinostat,CAB017180,ENSG00000133026,P35580,MYH10,17,https://ell-vault.stanford.edu/dav/jnhansen/www/B2AI/MDA-MB-468/CAB017180_MYH10/B2AI_5_Vorinostat_A3_R13/z01/B2AI_5_Vorinostat_A3_R13_z01_
4435,5,A3,Vorinostat,CAB017180,ENSG00000133026,P35580,MYH10,17,https://ell-vault.stanford.edu/dav/jnhansen/www/B2AI/MDA-MB-468/CAB017180_MYH10/B2AI_5_Vorinostat_A3_R14/z01/B2AI_5_Vorinostat_A3_R14_z01_
4436,5,A3,Vorinostat,CAB017180,ENSG00000133026,P35580,MYH10,17,https://ell-vault.stanford.edu/dav/jnhansen/www/B2AI/MDA-MB-468/CAB017180_MYH10/B2AI_5_Vorinostat_A3_R2/z01/B2AI_5_Vorinostat_A3_R2_z01_
4437,5,A3,Vorinostat,CAB017180,ENSG00000133026,P35580,MYH10,17,https://ell-vault.stanford.edu/dav/jnhansen/www/B2AI/MDA-MB-468/CAB017180_MYH10/B2AI_5_Vorinostat_A3_R5/z01/B2AI_5_Vorinostat_A3_R5_z01_
4438,5,A3,Vorinostat,CAB017180,ENSG00000133026,P35580,MYH10,17,https://ell-vault.stanford.edu/dav/jnhansen/www/B2AI/MDA-MB-468/CAB017180_MYH10/B2AI_5_Vorinostat_A3_R8/z01/B2AI_5_Vorinostat_A3_R8_z01_
4439,4,B6,Vorinostat,CAB034320,ENSG00000163191,P31949,S100A11,1,https://ell-vault.stanford.edu/dav/jnhansen/www/B2AI/MDA-MB-468/CAB034320_S100A11/B2AI_4_Vorinostat_B6_R1/z01/B2AI_4_Vorinostat_B6_R1_z01_
4440,4,B6,Vorinostat,CAB034320,ENSG00000163191,P31949,S100A11,1,https://ell-vault.stanford.edu/dav/jnhansen/www/B2AI/MDA-MB-468/CAB034320_S100A11/B2AI_4_Vorinostat_B6_R11/z02/B2AI_4_Vorinostat_B6_R11_z02_
4441,4,B6,Vorinostat,CAB034320,ENSG00000163191,P31949,S100A11,1,https://ell-vault.stanford.edu/dav/jnhansen/www/B2AI/MDA-MB-468/CAB034320_S100A11/B2AI_4_Vorinostat_B6_R12/z01/B2AI_4_Vorinostat_B6_R12_z01_
4442,4,B6,Vorinostat,CAB034320,ENSG00000163191,P31949,S100A11,1,https://ell-vault.stanford.edu/dav/jnhansen/www/B2AI/MDA-MB-468/CAB034320_S100A11/B2AI_4_Vorinostat_B6_R13/z02/B2AI_4_Vorinostat_B6_R13_z02_
4443,4,B6,Vorinostat,CAB034320,ENSG00000163191,P31949,S100A11,1,https://ell-vault.stanford.edu/dav/jnhansen/www/B2AI/MDA-MB-468/CAB034320_S100A11/B2AI_4_Vorinostat_B6_R14/z01/B2AI_4_Vorinostat_B6_R14_z01_
4444,4,B6,Vorinostat,CAB034320,ENSG00000163191,P31949,S100A11,1,https://ell-vault.stanford.edu/dav/jnhansen/www/B2AI/MDA-MB-468/CAB034320_S100A11/B2AI_4_Vorinostat_B6_R3/z02/B2AI_4_Vorinostat_B6_R3_z02_
4445,4,B6,Vorinostat,CAB034320,ENSG00000163191,P31949,S100A11,1,https://ell-vault.stanford.edu/dav/jnhansen/www/B2AI/MDA-MB-468/CAB034320_S100A11/B2AI_4_Vorinostat_B6_R4/z02/B2AI_4_Vorinostat_B6_R4_z02_
4446,4,B6,Vorinostat,CAB034320,ENSG00000163191,P31949,S100A11,1,https://ell-vault.stanford.edu/dav/jnhansen/www/B2AI/MDA-MB-468/CAB034320_S100A11/B2AI_4_Vorinostat_B6_R5/z01/B2AI_4_Vorinostat_B6_R5_z01_
4447,4,B6,Vorinostat,CAB034320,ENSG00000163191,P31949,S100A11,1,https://ell-vault.stanford.edu/dav/jnhansen/www/B2AI/MDA-MB-468/CAB034320_S100A11/B2AI_4_Vorinostat_B6_R6/z01/B2AI_4_Vorinostat_B6_R6_z01_
4448,4,B6,Vorinostat,CAB034320,ENSG00000163191,P31949,S100A11,1,https://ell-vault.stanford.edu/dav/jnhansen/www/B2AI/MDA-MB-468/CAB034320_S100A11/B2AI_4_Vorinostat_B6_R7/z01/B2AI_4_Vorinostat_B6_R7_z01_
4449,4,B6,Vorinostat,CAB034320,ENSG00000163191,P31949,S100A11,1,https://ell-vault.stanford.edu/dav/jnhansen/www/B2AI/MDA-MB-468/CAB034320_S100A11/B2AI_4_Vorinostat_B6_R8/z01/B2AI_4_Vorinostat_B6_R8_z01_
4450,1,C1,Vorinostat,CAB079904,ENSG00000187555,Q93009,USP7,16,https://ell-vault.stanford.edu/dav/jnhansen/www/B2AI/MDA-MB-468/CAB079904_USP7/B2AI_1_Vorinostat_C1_R1/z00/B2AI_1_Vorinostat_C1_R1_z00_
4451,1,C1,Vorinostat,CAB079904,ENSG00000187555,Q93009,USP7,16,https://ell-vault.stanford.edu/dav/jnhansen/www/B2AI/MDA-MB-468/CAB079904_USP7/B2AI_1_Vorinostat_C1_R11/z01/B2AI_1_Vorinostat_C1_R11_z01_
4452,1,C1,Vorinostat,CAB079904,ENSG00000187555,Q93009,USP7,16,https://ell-vault.stanford.edu/dav/jnhansen/www/B2AI/MDA-MB-468/CAB079904_USP7/B2AI_1_Vorinostat_C1_R12/z00/B2AI_1_Vorinostat_C1_R12_z00_
4453,1,C1,Vorinostat,CAB079904,ENSG00000187555,Q93009,USP7,16,https://ell-vault.stanford.edu/dav/jnhansen/www/B2AI/MDA-MB-468/CAB079904_USP7/B2AI_1_Vorinostat_C1_R13/z02/B2AI_1_Vorinostat_C1_R13_z02_
4454,1,C1,Vorinostat,CAB079904,ENSG00000187555,Q93009,USP7,16,https://ell-vault.stanford.edu/dav/jnhansen/www/B2AI/MDA-MB-468/CAB079904_USP7/B2AI_1_Vorinostat_C1_R14/z02/B2AI_1_Vorinostat_C1_R14_z02_
4455,1,C1,Vorinostat,CAB079904,ENSG00000187555,Q93009,USP7,16,https://ell-vault.stanford.edu/dav/jnhansen/www/B2AI/MDA-MB-468/CAB079904_USP7/B2AI_1_Vorinostat_C1_R4/z00/B2AI_1_Vorinostat_C1_R4_z00_
4456,1,C1,Vorinostat,CAB079904,ENSG00000187555,Q93009,USP7,16,https://ell-vault.stanford.edu/dav/jnhansen/www/B2AI/MDA-MB-468/CAB079904_USP7/B2AI_1_Vorinostat_C1_R5/z00/B2AI_1_Vorinostat_C1_R5_z00_
4457,1,G9,Vorinostat,CAB079921,ENSG00000186298,P36873,PPP1CC,12,https://ell-vault.stanford.edu/dav/jnhansen/www/B2AI/MDA-MB-468/CAB079921_PPP1CC/B2AI_1_Vorinostat_G9_R1/z01/B2AI_1_Vorinostat_G9_R1_z01_
4458,1,G9,Vorinostat,CAB079921,ENSG00000186298,P36873,PPP1CC,12,https://ell-vault.stanford.edu/dav/jnhansen/www/B2AI/MDA-MB-468/CAB079921_PPP1CC/B2AI_1_Vorinostat_G9_R2/z01/B2AI_1_Vorinostat_G9_R2_z01_
4459,1,G9,Vorinostat,CAB079921,ENSG00000186298,P36873,PPP1CC,12,https://ell-vault.stanford.edu/dav/jnhansen/www/B2AI/MDA-MB-468/CAB079921_PPP1CC/B2AI_1_Vorinostat_G9_R3/z01/B2AI_1_Vorinostat_G9_R3_z01_
4460,1,G9,Vorinostat,CAB079921,ENSG00000186298,P36873,PPP1CC,12,https://ell-vault.stanford.edu/dav/jnhansen/www/B2AI/MDA-MB-468/CAB079921_PPP1CC/B2AI_1_Vorinostat_G9_R4/z01/B2AI_1_Vorinostat_G9_R4_z01_
4461,1,G9,Vorinostat,CAB079921,ENSG00000186298,P36873,PPP1CC,12,https://ell-vault.stanford.edu/dav/jnhansen/www/B2AI/MDA-MB-468/CAB079921_PPP1CC/B2AI_1_Vorinostat_G9_R5/z01/B2AI_1_Vorinostat_G9_R5_z01_
4462,1,G9,Vorinostat,CAB079921,ENSG00000186298,P36873,PPP1CC,12,https://ell-vault.stanford.edu/dav/jnhansen/www/B2AI/MDA-MB-468/CAB079921_PPP1CC/B2AI_1_Vorinostat_G9_R6/z01/B2AI_1_Vorinostat_G9_R6_z01_
4463,1,G9,Vorinostat,CAB079921,ENSG00000186298,P36873,PPP1CC,12,https://ell-vault.stanford.edu/dav/jnhansen/www/B2AI/MDA-MB-468/CAB079921_PPP1CC/B2AI_1_Vorinostat_G9_R8/z01/B2AI_1_Vorinostat_G9_R8_z01_
4464,1,E2,Vorinostat,CAB080425,ENSG00000108773,Q92830,KAT2A,17,https://ell-vault.stanford.edu/dav/jnhansen/www/B2AI/MDA-MB-468/CAB080425_KAT2A/B2AI_1_Vorinostat_E2_R1/z01/B2AI_1_Vorinostat_E2_R1_z01_
4465,1,E2,Vorinostat,CAB080425,ENSG00000108773,Q92830,KAT2A,17,https://ell-vault.stanford.edu/dav/jnhansen/www/B2AI/MDA-MB-468/CAB080425_KAT2A/B2AI_1_Vorinostat_E2_R2/z00/B2AI_1_Vorinostat_E2_R2_z00_
4466,1,E2,Vorinostat,CAB080425,ENSG00000108773,Q92830,KAT2A,17,https://ell-vault.stanford.edu/dav/jnhansen/www/B2AI/MDA-MB-468/CAB080425_KAT2A/B2AI_1_Vorinostat_E2_R3/z00/B2AI_1_Vorinostat_E2_R3_z00_
4467,1,E2,Vorinostat,CAB080425,ENSG00000108773,Q92830,KAT2A,17,https://ell-vault.stanford.edu/dav/jnhansen/www/B2AI/MDA-MB-468/CAB080425_KAT2A/B2AI_1_Vorinostat_E2_R4/z00/B2AI_1_Vorinostat_E2_R4_z00_
4468,1,E2,Vorinostat,CAB080425,ENSG00000108773,Q92830,KAT2A,17,https://ell-vault.stanford.edu/dav/jnhansen/www/B2AI/MDA-MB-468/CAB080425_KAT2A/B2AI_1_Vorinostat_E2_R5/z00/B2AI_1_Vorinostat_E2_R5_z00_
4469,1,E2,Vorinostat,CAB080425,ENSG00000108773,Q92830,KAT2A,17,https://ell-vault.stanford.edu/dav/jnhansen/www/B2AI/MDA-MB-468/CAB080425_KAT2A/B2AI_1_Vorinostat_E2_R6/z00/B2AI_1_Vorinostat_E2_R6_z00_
4470,1,E2,Vorinostat,CAB080425,ENSG00000108773,Q92830,KAT2A,17,https://ell-vault.stanford.edu/dav/jnhansen/www/B2AI/MDA-MB-468/CAB080425_KAT2A/B2AI_1_Vorinostat_E2_R7/z00/B2AI_1_Vorinostat_E2_R7_z00_
4471,1,E2,Vorinostat,CAB080425,ENSG00000108773,Q92830,KAT2A,17,https://ell-vault.stanford.edu/dav/jnhansen/www/B2AI/MDA-MB-468/CAB080425_KAT2A/B2AI_1_Vorinostat_E2_R8/z00/B2AI_1_Vorinostat_E2_R8_z00_
4472,1,A4,Vorinostat,CAB080426,ENSG00000147099,Q9BY41,HDAC8,X,https://ell-vault.stanford.edu/dav/jnhansen/www/B2AI/MDA-MB-468/CAB080426_HDAC8/B2AI_1_Vorinostat_A4_R13/z01/B2AI_1_Vorinostat_A4_R13_z01_
4473,1,A4,Vorinostat,CAB080426,ENSG00000147099,Q9BY41,HDAC8,X,https://ell-vault.stanford.edu/dav/jnhansen/www/B2AI/MDA-MB-468/CAB080426_HDAC8/B2AI_1_Vorinostat_A4_R17/z00/B2AI_1_Vorinostat_A4_R17_z00_
